
epoch	loss	acc	val_loss	val_acc
0	1.110209	0.197143	1.105080	0.233333
1	1.101309	0.265714	1.098048	0.246667
2	1.093236	0.337143	1.091463	0.366667
3	1.085841	0.437143	1.083780	0.426667
4	1.079156	0.497143	1.075390	0.533333
5	1.069701	0.482857	1.068409	0.440000
6	1.061551	0.502857	1.059050	0.533333
7	1.051247	0.554286	1.049933	0.506667
8	1.040215	0.525714	1.039583	0.540000
9	1.027151	0.562857	1.023647	0.553333
10	1.013616	0.562857	1.008668	0.553333
11	0.997312	0.551429	0.994420	0.573333
12	0.981617	0.565714	0.978442	0.553333
13	0.960803	0.560000	0.957910	0.560000
14	0.941687	0.557143	0.961240	0.566667
15	0.934876	0.582857	0.945677	0.573333
16	0.933507	0.565714	0.929173	0.580000
17	0.919272	0.571429	0.923364	0.580000
18	0.912700	0.588571	0.918779	0.580000
19	0.905441	0.580000	0.908231	0.553333
20	0.896622	0.591429	0.907690	0.586667
21	0.898506	0.571429	0.898029	0.553333
22	0.889797	0.614286	0.896099	0.546667
23	0.879882	0.602857	0.893900	0.573333
24	0.880856	0.614286	0.895319	0.573333
25	0.884745	0.582857	0.896830	0.600000
26	0.873423	0.600000	0.883850	0.566667
27	0.869452	0.608571	0.886783	0.560000
28	0.865543	0.611429	0.883996	0.553333
29	0.864556	0.611429	0.886383	0.566667
30	0.862860	0.600000	0.887944	0.553333
31	0.858512	0.585714	0.883283	0.560000
32	0.861746	0.594286	0.898905	0.553333
33	0.866141	0.605714	0.903147	0.540000
34	0.852840	0.605714	0.887247	0.586667
35	0.850067	0.602857	0.895892	0.546667
36	0.853417	0.620000	0.897850	0.566667
37	0.855097	0.597143	0.877374	0.560000
38	0.844350	0.622857	0.889380	0.593333
39	0.851817	0.600000	0.887930	0.573333
40	0.846396	0.585714	0.884323	0.560000
41	0.840530	0.622857	0.888730	0.580000
42	0.841831	0.617143	0.879984	0.560000
43	0.844176	0.600000	0.882829	0.540000
44	0.835821	0.617143	0.880663	0.573333
45	0.834903	0.614286	0.887863	0.553333
46	0.832883	0.620000	0.898187	0.560000
47	0.834264	0.602857	0.882145	0.546667
48	0.834591	0.605714	0.883870	0.526667
49	0.832279	0.620000	0.888428	0.540000
