
epoch	loss	acc	val_loss	val_acc
0	1.098440	0.337143	1.099262	0.300000
1	1.098180	0.354286	1.100669	0.300000
2	1.098349	0.354286	1.100762	0.300000
3	1.098057	0.354286	1.100483	0.300000
4	1.097559	0.354286	1.101386	0.300000
5	1.096606	0.354286	1.101586	0.300000
6	1.096587	0.354286	1.099654	0.300000
7	1.094683	0.354286	1.098345	0.300000
8	1.092998	0.374286	1.096707	0.413333
9	1.087642	0.380000	1.088994	0.413333
10	1.080350	0.422857	1.079887	0.380000
11	1.061792	0.434286	1.065769	0.433333
12	1.045430	0.460000	1.050449	0.426667
13	1.030759	0.448571	1.070935	0.393333
14	1.020162	0.462857	1.045215	0.413333
15	1.014281	0.468571	1.034255	0.433333
16	1.033434	0.451429	1.032086	0.440000
17	0.999488	0.462857	1.031631	0.433333
18	0.993296	0.445714	1.054423	0.426667
19	1.010562	0.468571	1.039024	0.433333
20	0.986637	0.454286	1.034377	0.440000
21	0.993737	0.451429	1.042585	0.440000
22	1.009292	0.451429	1.033974	0.440000
23	0.988824	0.440000	1.039666	0.460000
24	0.979814	0.485714	1.035810	0.446667
25	0.983222	0.477143	1.063518	0.500000
26	0.995261	0.465714	1.036082	0.440000
27	0.993109	0.451429	1.033618	0.446667
28	0.982824	0.471429	1.037194	0.433333
29	0.981116	0.462857	1.040719	0.433333
30	0.976048	0.454286	1.058202	0.400000
31	0.998156	0.500000	1.035386	0.453333
32	0.975686	0.474286	1.032882	0.473333
33	0.984561	0.500000	1.033615	0.473333
34	0.991431	0.491429	1.035575	0.446667
35	0.978067	0.494286	1.041067	0.420000
36	0.979255	0.451429	1.034152	0.500000
37	0.991718	0.468571	1.031477	0.446667
38	0.986603	0.500000	1.043586	0.573333
39	0.977839	0.540000	1.034887	0.520000
40	0.988404	0.465714	1.027758	0.473333
41	0.986470	0.522857	1.035990	0.486667
42	0.973675	0.514286	1.024830	0.526667
43	0.972844	0.522857	1.023449	0.526667
44	0.971136	0.514286	1.024956	0.520000
45	0.965298	0.520000	1.022147	0.520000
46	0.967659	0.528571	1.029043	0.473333
